ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. BRADLEY SCOTT SCHNEIDER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,763363.06,409730.08
2024 HON. BRADLEY SCOTT SCHNEIDER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,763363.06,409730.08
2024 HON. BRADLEY SCOTT SCHNEIDER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17921.67,7408.33
2024 HON. BRADLEY SCOTT SCHNEIDER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17921.67,7408.33
2024 HON. BRADLEY SCOTT SCHNEIDER,INTERN ALLOWANCES,OFFICE TOTALS:,17921.67,7408.33
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,164.1,153.07
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,585088.84,286219.44
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24998.11,17556.14
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16070.75,12464
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1373.9,652.68
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2987.52,1842.64
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4670.35,3512.42
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1002,501
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,636355.57,322901.39
2024 HON. HILLARY J. SCHOLTEN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,636355.57,322901.39
2024 HON. HILLARY J. SCHOLTEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,19011.5,10005.33
2024 HON. HILLARY J. SCHOLTEN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,19011.5,10005.33
2024 HON. HILLARY J. SCHOLTEN,INTERN ALLOWANCES,OFFICE TOTALS:,19011.5,10005.33
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,131243.83,130976.88
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,596986.47,297361.11
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33342.17,29813.49
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15680.71,13162.52
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65854.99,65666.99
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1062.4,510
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3016.65,2806.79
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2191.98,1095.99
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,849379.2,541393.77
2024 HON. KIM SCHRIER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,849379.2,541393.77
2024 HON. KIM SCHRIER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17543.26,10751.76
2024 HON. KIM SCHRIER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17543.26,10751.76
2024 HON. KIM SCHRIER,INTERN ALLOWANCES,OFFICE TOTALS:,17543.26,10751.76
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,149835.52,121218.41
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,558032.75,274319.45
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15862.9,7975.6
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,28697.66,14863.09
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,193076.73,147835.73
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4199.28,2385.5
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5266.03,3995.26
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4182,2091
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,959152.87,574684.04
2024 HON. DAVID SCHWEIKERT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,959152.87,574684.04
2024 HON. DAVID SCHWEIKERT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21213.32,12620
2024 HON. DAVID SCHWEIKERT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21213.32,12620
2024 HON. DAVID SCHWEIKERT,INTERN ALLOWANCES,OFFICE TOTALS:,21213.32,12620
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,474.02,258.14
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,581640.09,293977.85
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39586.5,22262.79
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,11986.42,6609.99
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,310.36,158.07
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9103.46,7627.46
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3965.42,1627.88
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2358.87,493.5
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,649425.14,333015.68
2024 HON. AUSTIN SCOTT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,649425.14,333015.68
2024 HON. AUSTIN SCOTT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22450,12500
2024 HON. AUSTIN SCOTT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22450,12500
2024 HON. AUSTIN SCOTT,INTERN ALLOWANCES,OFFICE TOTALS:,22450,12500
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,58601.94,40728.98
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,549483.35,266741.67
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,39681.99,37393.69
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,52880.23,31501.01
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,57394.42,57296.84
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4653.13,1155
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2447.39,1253.24
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,990,495
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,766132.45,436565.43
2024 HON. DAVID SCOTT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,766132.45,436565.43
2024 HON. DAVID SCOTT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,16755.65,8903.35
2024 HON. DAVID SCOTT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,16755.65,8903.35
2024 HON. DAVID SCOTT,INTERN ALLOWANCES,OFFICE TOTALS:,16755.65,8903.35
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,72.54,87.45
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,710659.31,369177.93
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17683.02,13425.64
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,47229.06,27562.83
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11115,11115
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2272.26,1800.67
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1642.17,640.17
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,790673.36,423809.69
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,790673.36,423809.69
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",INTERN ALLOWANCES,PERSONNEL COMPENSATION,39647.4,20155.2
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,39647.4,20155.2
"2024 HON. ROBERT C. ""BOBBY"" SCOTT",INTERN ALLOWANCES,OFFICE TOTALS:,39647.4,20155.2
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,44101.89,6157.04
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,686937.66,355380.97
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,54206.76,28992.19
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17522.86,11288.65
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,22692.62,22066.16
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14621.39,6311.39
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22293.85,12905.75
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,15134.27,14132.27
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,877511.3,457234.42
2024 HON. KEITH SELF,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,877511.3,457234.42
2024 HON. KEITH SELF,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24046.66,15663.33
2024 HON. KEITH SELF,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24046.66,15663.33
2024 HON. KEITH SELF,INTERN ALLOWANCES,OFFICE TOTALS:,24046.66,15663.33
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-14.68,-2.68
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,707991.9,354575
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52791.45,29956.51
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,40459.15,22505.61
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,960.86,457.36
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23694.81,11462.1
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28384.21,9867.27
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2110,1090
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,856377.7,429911.17
2024 HON. PETE SESSIONS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,856377.7,429911.17
2024 HON. PETE SESSIONS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,28006.38,12382.81
2024 HON. PETE SESSIONS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,28006.38,12382.81
2024 HON. PETE SESSIONS,INTERN ALLOWANCES,OFFICE TOTALS:,28006.38,12382.81
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,34339.27,10.27
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,601355.04,288131.59
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,55654.62,31142.65
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,72048.7,49508.02
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3506.81,2964.81
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27659.77,16967.19
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16078.53,9598.84
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4826.2,2969.2
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,815468.94,401292.57
2024 HON. TERRI A. SEWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,815468.94,401292.57
2024 HON. TERRI A. SEWELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14154.12,5596.36
2024 HON. TERRI A. SEWELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14154.12,5596.36
2024 HON. TERRI A. SEWELL,INTERN ALLOWANCES,OFFICE TOTALS:,14154.12,5596.36
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,75184.66,-54.42
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,696844.45,351249.99
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14975.3,14721.45
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44064.76,30424.11
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,131200.27,5102.99
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24216.87,10536.05
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15958.66,6486.6
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,918,-1223.07
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1003362.97,417243.7
2024 HON. BRAD SHERMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1003362.97,417243.7
2024 HON. BRAD SHERMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21699.62,3697.24
2024 HON. BRAD SHERMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21699.62,3697.24
2024 HON. BRAD SHERMAN,INTERN ALLOWANCES,OFFICE TOTALS:,21699.62,3697.24
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,195.17,25.92
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,697046.2,349057.59
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16839.49,10726.78
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23459.95,10908.05
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,35612.38,35166.5
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23610.59,16863.46
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14167.61,6790.4
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,601.69,297
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,811533.08,429835.7
2024 HON. MIKIE SHERRILL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,811533.08,429835.7
2024 HON. MIKIE SHERRILL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20833.68,11321.68
2024 HON. MIKIE SHERRILL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20833.68,11321.68
2024 HON. MIKIE SHERRILL,INTERN ALLOWANCES,OFFICE TOTALS:,20833.68,11321.68
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11570.72,4398.77
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,607683.46,319746.3
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,67348.72,35803.61
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,139123.26,31947.32
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,43734.83,7350.63
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1940,1155
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13833.42,5650.06
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3699.48,3361.74
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,888933.89,409413.43
2024 HON. MICHAEL K. SIMPSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,888933.89,409413.43
2024 HON. MICHAEL K. SIMPSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18066.66,8666.66
2024 HON. MICHAEL K. SIMPSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18066.66,8666.66
2024 HON. MICHAEL K. SIMPSON,INTERN ALLOWANCES,OFFICE TOTALS:,18066.66,8666.66
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,431.54,260.35
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,746055.68,376519.29
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14297.69,8570.64
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18992.87,8935.96
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,506.1,55.2
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4470.21,2340.75
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8065.83,4505.8
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1147.16,501
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,793967.08,401688.99
2024 HON. ELISSA SLOTKIN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,793967.08,401688.99
2024 HON. ELISSA SLOTKIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,34600,14660
2024 HON. ELISSA SLOTKIN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,34600,14660
2024 HON. ELISSA SLOTKIN,INTERN ALLOWANCES,OFFICE TOTALS:,34600,14660
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,333.98,443.5
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,717173.56,402829.04
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17443.44,10910.01
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34372.24,29181.26
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6318.82,5893.98
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1213.57,450.5
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7625.93,3684.38
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2004,1002
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,786485.54,454394.67
2024 HON. ADAM SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,786485.54,454394.67
2024 HON. ADAM SMITH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30307.67,11451
2024 HON. ADAM SMITH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,30307.67,11451
2024 HON. ADAM SMITH,INTERN ALLOWANCES,OFFICE TOTALS:,30307.67,11451
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-56.22,-131.3
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636213.61,321313.35
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44839.51,35743.23
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19191.93,7703.31
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1996.5,247.5
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4080,600
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4504.55,3179.91
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,957,478.5
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,711726.88,369134.5
2024 HON. ADRIAN SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,711726.88,369134.5
2024 HON. ADRIAN SMITH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8210.25,8210.25
2024 HON. ADRIAN SMITH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8210.25,8210.25
2024 HON. ADRIAN SMITH,INTERN ALLOWANCES,OFFICE TOTALS:,8210.25,8210.25
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,55896.14,55817.76
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,655960.09,338000.06
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18823.38,11179.24
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12379.62,7176.67
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8302.64,146.95
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2347.25,1238.62
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7824.3,1858.34
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1968,984
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,763501.42,416401.64
2024 HON. CHRISTOPHER H. SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,763501.42,416401.64
2024 HON. CHRISTOPHER H. SMITH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14965.27,7586.11
2024 HON. CHRISTOPHER H. SMITH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14965.27,7586.11
2024 HON. CHRISTOPHER H. SMITH,INTERN ALLOWANCES,OFFICE TOTALS:,14965.27,7586.11
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,856.43,487.78
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,652489.8,334008.25
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30575.83,19552.89
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49561.16,30330.46
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,58001.6,57793.46
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26371.52,13847.9
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7942.66,4573.72
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1306.25,495
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,827105.25,461089.46
2024 HON. JASON SMITH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,827105.25,461089.46
2024 HON. JASON SMITH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24804.66,12929.66
